baseline,split,horizon,samples,RMSE,MAE,MSE,NSE,CSI_0.001,CSI_0.01,PathIoU_0.001,PathIoU_0.01,F1_0.001,F1_0.01,Precision_0.001,Precision_0.01,Recall_0.001,Recall_0.01
persistence,val,20,408,0.019640132594087503,0.007303428497591287,0.00038573480831333835,0.9990283591168907,0.9596946904719836,0.9823022421525653,0.0,0.0,0.9794328628209382,0.9910721193412884,0.9649030047319204,0.9890431770335214,0.9944070027729963,0.9931094031840472
linear_delta,val,20,408,0.008321432038481149,0.0021278644357041365,6.924623117106053e-05,0.9998255732494009,0.939404960918956,0.9782090673301549,0.14527641555628745,0.1932969278830104,0.9687558605334639,0.9889845148171044,0.9805890592005051,0.987677325530732,0.9572048493921126,0.9902951688146793
persistence,test,20,409,0.003651857640163822,0.0012004114941632329,1.3336064224022878e-05,0.9999686257869355,0.9885527086924802,0.9984844758625625,0.0,0.0,0.9942434056399508,0.999241663292489,0.9944288765206176,0.9988818730035098,0.9940580039307124,0.9996017128627686
linear_delta,test,20,409,0.0003639053600582735,8.281958407201927e-05,1.3242711107914165e-07,0.9999996884540799,0.9825341433957854,0.9996860137828615,0.1258902547326594,0.6284104114604223,0.9911901357853549,0.9998429822407248,0.9880294837106467,0.9999312260945935,0.9943710742600719,0.9997547539605081
persistence,val,72,356,0.061742692972965904,0.023611289710216064,0.003812160135553933,0.9906529253185802,0.8749984046257747,0.9601293082239257,0.0,0.0,0.9333324257418908,0.979659152276948,0.8778004739950371,0.9674586349201246,0.996365084572565,0.9921713186447293
linear_delta,val,72,356,0.04263921322256106,0.012957627676332222,0.001818102504239026,0.9955421757530316,0.8261497734369827,0.9361282275074609,0.042077345987622,0.0755389327673945,0.9047995793708558,0.9670105669732595,0.9127492405373253,0.9546130272158674,0.8969871989430614,0.9797343569230588
persistence,test,72,357,0.012869637193064531,0.0042362471984118185,0.0001656275614811099,0.9996107090770663,0.9764693350875061,0.9947120499600893,0.0,0.0,0.9880945965137111,0.9973490158441584,0.984938972213279,0.9960506326376747,0.9912705062768099,0.9986507884351884
linear_delta,test,72,357,0.0028162349231427315,0.0006410074529103893,7.931179142328746e-06,0.9999813585612162,0.934536411968215,0.9978279610909425,0.02910295673432582,0.35026159727497735,0.9661605810948879,0.9989127998249301,0.9505995779100055,0.9995330880763393,0.9822395197461036,0.9982932809705433
persistence,val,144,284,0.10777373142516586,0.043556807654181295,0.011615177185303784,0.9720838700770188,0.7309778921400237,0.9229753196629146,0.0,0.0,0.8445837413166601,0.9599450499704866,0.731710818378894,0.9334599239738647,0.9986315723406004,0.9879769927047322
linear_delta,val,144,284,0.11407782549339866,0.04042477444715597,0.013013750269302318,0.9687225138706679,0.738800141149175,0.8912383963201107,0.008330032115246147,0.06148501224868401,0.8497815518474725,0.9424918593597122,0.8101031998586129,0.9145517164984679,0.8935469257461393,0.9721929798718667
persistence,test,144,285,0.025097143701381018,0.008354663796914833,0.0006298666219677688,0.9985212456859457,0.9653553618923877,0.9896830016118467,0.0,0.0,0.9823723288015181,0.994814752711967,0.9748109833116446,0.99222651724513,0.9900518939182213,0.9974165263835301
linear_delta,test,144,285,0.00862023094682726,0.002139599630054078,7.43083815766384e-05,0.9998255442723992,0.9050697427661202,0.9940896167567812,0.010508052092557002,0.22581514214941592,0.9501696682788929,0.9970360493362221,0.9331314520051678,0.998850616170534,0.9678416646144444,0.9952280634299812
