epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.586912,0.415300,1.265566,0.544200,118.246
2,1.224538,0.557580,1.007268,0.639400,62.230
3,1.050093,0.626360,0.872316,0.696100,102.443
4,0.927173,0.674320,0.817663,0.716400,295.023
5,0.846996,0.701960,0.778778,0.725700,118.685
6,0.782636,0.727800,0.728458,0.750700,111.769
7,0.746031,0.739920,0.715296,0.752300,94.627
8,0.701345,0.753140,0.689514,0.761700,94.978
9,0.678580,0.763500,0.646449,0.778500,101.015
10,0.647682,0.773380,0.625934,0.787000,126.567
11,0.623355,0.781840,0.606879,0.791700,101.775
12,0.604574,0.786840,0.619053,0.787500,98.101
13,0.588076,0.794340,0.593045,0.798300,85.054
14,0.563398,0.803100,0.586930,0.799300,71.481
15,0.554498,0.805680,0.585513,0.798800,75.849
16,0.535218,0.814000,0.584635,0.801800,118.372
17,0.526177,0.815380,0.576110,0.802500,96.101
18,0.509124,0.821960,0.584745,0.803400,87.824
19,0.496081,0.826140,0.586518,0.807800,84.240
20,0.490966,0.827500,0.586172,0.799600,86.757
21,0.482845,0.830040,0.575766,0.804000,89.088
22,0.473294,0.834720,0.570848,0.809800,85.699
23,0.460483,0.838260,0.561620,0.818000,90.630
24,0.450078,0.840520,0.571010,0.817700,84.538
25,0.443899,0.845640,0.552469,0.820500,85.387
26,0.439721,0.846120,0.545293,0.824300,85.122
27,0.424270,0.852020,0.548155,0.818600,83.836
28,0.420661,0.852020,0.551741,0.819700,93.966
29,0.413740,0.856400,0.556246,0.821600,97.810
30,0.406015,0.857840,0.567105,0.822100,91.634
31,0.402495,0.858560,0.544095,0.825100,88.909
32,0.403878,0.858800,0.532659,0.825300,92.762
33,0.395149,0.860760,0.533430,0.829800,95.038
34,0.388291,0.862820,0.560470,0.823900,88.749
35,0.384865,0.866620,0.527205,0.829100,88.114
36,0.379596,0.863860,0.545821,0.826500,105.157
37,0.373606,0.867480,0.548432,0.821300,104.277
38,0.363144,0.872020,0.546702,0.830600,89.977
39,0.368416,0.869880,0.544710,0.832700,82.527
40,0.361871,0.873580,0.568243,0.822700,86.997
41,0.360302,0.873140,0.543870,0.828800,86.893
42,0.345937,0.876900,0.552421,0.829700,86.257
43,0.344023,0.876960,0.553782,0.830700,93.999
44,0.344874,0.877940,0.543033,0.826900,99.756
45,0.339788,0.879960,0.560986,0.829500,100.196
46,0.338657,0.879500,0.553435,0.825900,98.324
47,0.333027,0.881780,0.565948,0.824200,99.853
48,0.330156,0.883520,0.545159,0.831400,101.144
49,0.328140,0.883000,0.540253,0.831100,105.107
50,0.326250,0.883380,0.554397,0.831800,106.638
51,0.314637,0.887560,0.560513,0.830800,100.175
52,0.319279,0.887920,0.546021,0.835100,99.808
53,0.314934,0.889460,0.549681,0.835600,99.858
54,0.307316,0.890600,0.569265,0.831000,100.559
55,0.308980,0.890780,0.554957,0.834800,98.155
56,0.301384,0.894120,0.571364,0.833800,101.123
57,0.299770,0.893480,0.549182,0.838700,100.450
58,0.298579,0.894920,0.568870,0.833200,100.808
59,0.298388,0.895400,0.563554,0.832700,102.679
60,0.295345,0.893880,0.569300,0.839800,100.260
61,0.293485,0.896400,0.566201,0.837700,99.860
62,0.290993,0.896300,0.576103,0.831400,93.096
63,0.281813,0.900060,0.570388,0.831100,80.986
64,0.283312,0.900580,0.574365,0.832000,76.841
65,0.285201,0.898440,0.571428,0.836800,74.317
66,0.279205,0.901240,0.584774,0.833000,86.101
67,0.279996,0.900620,0.579126,0.834900,101.693
68,0.283704,0.899140,0.565696,0.835600,99.436
69,0.273278,0.902260,0.603276,0.829300,100.478
70,0.273175,0.902340,0.585900,0.834200,99.183
71,0.273652,0.902780,0.548391,0.845000,98.387
72,0.265876,0.905040,0.594311,0.832500,98.684
73,0.265776,0.905020,0.590859,0.833400,100.112
74,0.263936,0.905980,0.569664,0.834000,99.960
75,0.262750,0.906500,0.562638,0.845900,99.345
76,0.263295,0.906280,0.577570,0.836600,100.389
77,0.257958,0.907860,0.583585,0.836600,98.958
78,0.268034,0.905120,0.608043,0.835300,98.246
79,0.259230,0.908140,0.566594,0.839500,102.107
80,0.257508,0.909380,0.577797,0.839800,101.847
81,0.252942,0.910360,0.624349,0.833700,98.427
82,0.252486,0.909260,0.582147,0.839200,98.226
83,0.253173,0.909300,0.586320,0.837400,97.661
84,0.253925,0.909540,0.576851,0.840200,100.406
85,0.250080,0.913040,0.609455,0.834500,100.078
86,0.250079,0.911220,0.581626,0.840300,97.960
87,0.246736,0.912060,0.587956,0.836000,99.092
88,0.245826,0.913620,0.584307,0.840500,99.564
89,0.239794,0.915860,0.599150,0.839900,98.912
90,0.247456,0.911440,0.604338,0.836300,98.671
