epoch,train_loss,train_acc,train_clean_loss,train_adv_loss,train_adv_acc,test_loss,test_acc,epoch_time_sec
1,1.927712,0.369600,1.744330,2.111094,0.206420,1.520379,0.452300,126.192
2,1.724754,0.479240,1.464257,1.985250,0.248720,1.326450,0.536600,133.688
3,1.646094,0.526020,1.353705,1.938482,0.265260,1.242453,0.568100,154.154
4,1.592654,0.556800,1.278816,1.906491,0.279140,1.194397,0.583300,161.288
5,1.553569,0.578620,1.224663,1.882474,0.286240,1.161964,0.603500,169.173
6,1.515974,0.599420,1.174211,1.857738,0.294380,1.120989,0.616400,172.730
7,1.495093,0.610240,1.143236,1.846949,0.296360,1.093714,0.636600,165.975
8,1.472846,0.623780,1.114303,1.831390,0.301180,1.065582,0.636400,179.187
9,1.458062,0.632220,1.093490,1.822634,0.305760,1.056031,0.648400,189.135
10,1.436551,0.644060,1.063551,1.809550,0.309820,1.017146,0.652700,196.567
11,1.426244,0.647460,1.052600,1.799887,0.312520,1.028017,0.654900,186.545
12,1.402537,0.656360,1.024584,1.780490,0.320460,0.997334,0.661100,193.290
13,1.374382,0.663300,0.997844,1.750920,0.332300,0.967120,0.679200,194.674
14,1.326263,0.675100,0.959371,1.693155,0.352080,0.942556,0.683100,198.539
15,1.253912,0.688820,0.905348,1.602476,0.387360,0.853225,0.696500,196.207
16,1.181781,0.704320,0.847107,1.516454,0.420300,0.808193,0.716400,195.016
17,1.134527,0.716120,0.809670,1.459384,0.443600,0.777839,0.726900,192.077
18,1.094462,0.724580,0.775906,1.413019,0.463160,0.753237,0.737500,197.762
19,1.063964,0.736120,0.744231,1.383696,0.479040,0.739706,0.740700,202.064
20,1.048703,0.743000,0.725274,1.372131,0.479900,0.731063,0.741900,197.424
21,1.025114,0.753100,0.702745,1.347482,0.491000,0.724848,0.746000,209.459
22,1.004130,0.755440,0.692390,1.315871,0.506000,0.698818,0.754200,196.728
23,0.990356,0.758620,0.681323,1.299389,0.515000,0.692772,0.757300,195.748
24,0.976194,0.764140,0.666507,1.285881,0.519100,0.710830,0.750800,196.835
