epoch,train_loss,val_loss,train_rmse_raw,val_rmse_raw,train_rmse_clamped,val_rmse_clamped,train_mae_raw,val_mae_raw,train_mae_clamped,val_mae_clamped,train_mse_raw,val_mse_raw,train_nse_raw,val_nse_raw,val_csi_gamma_0_001_raw,val_csi_gamma_0_001_clamped,val_csi_gamma_0_01_raw,val_csi_gamma_0_01_clamped,val_path_iou_gamma_0_001_raw,val_path_iou_gamma_0_001_clamped,val_path_iou_gamma_0_01_raw,val_path_iou_gamma_0_01_clamped,train_pred_min,val_pred_min,train_pred_max,val_pred_max,train_pred_mean,val_pred_mean,train_negative_prediction_ratio,val_negative_prediction_ratio,train_target_mean,val_target_mean,learning_rate,epoch_time_sec
1,0.03134552882208022,0.18911075148354756,0.0380807931247887,0.09353546144424701,0.038075473229557934,0.09351107256068726,0.012263524923170946,0.055741970231164756,0.012193379394191605,0.055691684185970196,0.0014501468050129545,0.00874888254758822,0.9734855829264614,0.9785485251480632,0.6615133585038897,0.6615133585038897,0.610927406555868,0.610927406555868,0.00950663412243734,0.00950663412243734,0.012656900539505812,0.012656900539505812,-0.006592907011508942,-0.4617935121059418,9.107736587524414,20.432458877563477,0.03086794912815094,0.32420599460601807,0.739707350730896,0.004916057921946049,0.04064514487981796,0.32888263463974,0.0001,2611.0995655609995
2,0.029988805008102158,0.2714984913387995,0.03724755460293007,0.11207323199730257,0.037245172460411556,0.11039792063387936,0.011702419817560584,0.07448662067938493,0.01168990235360946,0.07419409690607086,0.001387380323898257,0.012560409330321204,0.9746332024627998,0.9692030035362982,0.6620857834883882,0.6620857834883882,0.6009831478833668,0.6009831478833668,0.009537402933556965,0.009537402933556965,0.01217069372885529,0.01217069372885529,-0.0320625826716423,-3.6621925830841064,12.820576667785645,20.589378356933594,0.06850374490022659,0.34214499592781067,0.0020741247572004795,0.006346144247800112,0.06732210516929626,0.32888263463974,0.0001,2485.5577826590015
3,0.029709198621748863,0.19895985839741953,0.03707350553213782,0.0959402658788713,0.03706677506771498,0.0954099462701249,0.011735513147251232,0.06131995359937896,0.011704775085840008,0.06098445766765498,0.0013744448124414534,0.009204534616908518,0.9748697146844939,0.9774313071658706,0.6738300080709203,0.6738300080709203,0.6340398435123477,0.6340398435123477,0.009924557575716527,0.009924557575716527,0.013913591265904482,0.013913591265904482,-0.024546489119529724,-2.03019118309021,11.087198257446289,21.538679122924805,0.07835967093706131,0.330281525850296,0.002445434918627143,0.019986467435956,0.07735947519540787,0.32888263463974,0.0001,2212.2821667299995
4,0.029272664591568624,0.17876913038532385,0.03680012659031588,0.09094198840282701,0.0367912686323654,0.0908848358551669,0.011573771630000826,0.04972768675682307,0.011533204939742386,0.04958837258990419,0.001354249317063274,0.008270445254659921,0.9752389681787805,0.9797216104537185,0.6688737442767417,0.6688737442767417,0.6480233151986795,0.6480233151986795,0.009714171597600596,0.009714171597600596,0.014829616117236126,0.014829616117236126,-0.056335173547267914,-0.6508864164352417,11.061995506286621,22.039342880249023,0.09312219172716141,0.31732162833213806,0.020051609724760056,0.014617889188230038,0.08563441783189774,0.32888263463974,0.0001,2216.628130792
5,0.028977351830757676,0.23959417624419996,0.03661402991682881,0.1052825303064046,0.03660498469812087,0.10522735734914847,0.01146558752575096,0.06586159683237124,0.011415761351791176,0.06577220342992653,0.0013405871867504346,0.011084411187719,0.9754887658662711,0.9728220185208193,0.6621651951233493,0.6621651951233493,0.6135419570625394,0.6135419570625394,0.009501701596913192,0.009501701596913192,0.012853675187804359,0.012853675187804359,-0.0016519799828529358,-0.856395423412323,1.1464784145355225,22.37746238708496,0.007297038566321135,0.3344828188419342,0.0005858447402715683,0.006512908264994621,0.004134673159569502,0.32888263463974,0.0001,2218.214221694998
6,0.028811177812428104,0.18383834544527397,0.036508895160995855,0.09222236031665237,0.0365002028550997,0.09216643828405358,0.011422225180064914,0.0521652764056018,0.011370381836806052,0.05205548223503428,0.0013328994258765864,0.008504963742374458,0.9756293285719561,0.9791465921683365,0.6650329234355463,0.6650329234355463,0.6324529894022396,0.6324529894022396,0.009591014238955536,0.009591014238955536,0.013899423293250638,0.013899423293250638,-0.03479272872209549,-0.6145361661911011,11.199127197265625,21.863536834716797,0.08175183087587357,0.32042714953422546,0.0075647360645234585,0.009948069229722023,0.0801774114370346,0.32888263463974,0.0001,2219.4778511440018
7,0.028395966062828275,0.23259687549277638,0.036244866897285684,0.10373376088833913,0.0362345332834395,0.1035508149105264,0.011365611957244282,0.06560250482232155,0.011299791930837993,0.06525227828413921,0.0013136903764019556,0.010760693148039117,0.9759805459073508,0.9736157461025463,0.7022640691138483,0.7022640691138483,0.6415982967370923,0.6415982967370923,0.011160762519138081,0.011160762519138081,0.01433421959429905,0.01433421959429905,-0.24694642424583435,-1.5566577911376953,16.94780921936035,22.258892059326172,0.15398484468460083,0.3355717658996582,0.01364857517182827,0.029571913182735443,0.16355404257774353,0.32888263463974,0.0001,2208.470966320998
8,0.028119877153988726,0.1649182652740666,0.03606823533191203,0.08734791894560637,0.03605828283605657,0.08723695194899898,0.011228173017209093,0.05010801224338144,0.011166924254086856,0.04980862752451415,0.0013009175999581875,0.00762965894412822,0.9762140828422116,0.9812927609807793,0.6842093844037216,0.6842093844037216,0.6614839464753366,0.6614839464753366,0.010221022187322997,0.010221022187322997,0.0156182560593241,0.0156182560593241,-0.05097005516290665,-0.87989342212677,10.495753288269043,22.744861602783203,0.0640474334359169,0.32015687227249146,0.0610768087208271,0.02543538808822632,0.06549309194087982,0.32888263463974,0.0001,2214.1626264119986
9,0.02754079943271378,0.29334479888503473,0.035694923577891904,0.11649502575326716,0.035683796584567364,0.11640009776378411,0.01110250535186048,0.06983931675769012,0.011038680349127061,0.06963457645645729,0.0012741275692315435,0.013571091025254379,0.976703910512885,0.9667249027223664,0.6678599989745834,0.6678599989745834,0.6182172392318819,0.6182172392318819,0.00970391360515463,0.00970391360515463,0.013055013785584326,0.013055013785584326,-0.06301432102918625,-0.7226508259773254,11.092958450317383,24.532827377319336,0.08406305313110352,0.3402884006500244,0.04202751815319061,0.010822710581123829,0.08111853897571564,0.32888263463974,0.0001,2210.8601213190013
10,0.027411475806615477,0.18619088409991746,0.035611018464333496,0.09281055938098795,0.0356003084601251,0.09267046591464918,0.011035931910957,0.05082865908783641,0.010976392569666888,0.05054852725901101,0.0012681446360671012,0.00861379993261189,0.9768133021810431,0.9788797355972076,0.6782813421250473,0.6782813421250473,0.6611980997753037,0.6611980997753037,0.009991914204442223,0.009991914204442223,0.015635235830881698,0.015635235830881698,-0.054120227694511414,-0.7025541663169861,11.423462867736816,22.400066375732422,0.058023612946271896,0.3227965831756592,0.008175334893167019,0.0207985732704401,0.052376195788383484,0.32888263463974,0.0001,2233.031038068999
